name,loss,perplexity,params,peak_mem_mb,total_time_sec,tokens_per_sec
gpt_baseline,10.5519,38249.895,16999430,0,3.280818223953247,156.0586308201683
vayusphere_gpt,10.5519,38249.895,17005574,0,1.6464207172393799,310.97762232881223
